EventDate,GroupName,SiteName,SiteID,site_latitude,site_longitude,site_altitude,do_saturation,NitrateN
1999-02-20 09:00:00,Rails to Trails,West Fork of Little River,18,34.4103,-83.8462,384.126526,59.53,0.9
1999-07-25 12:00:00,Friends of Douglas County,Bear Creek,219,33.628,-84.7578,220.747498,82.98,0.0
2001-05-08 12:24:00,Madison County Middle Bluestoners,Bluestone Creek,24,34.1839,-83.1531,158.724548,95.91,1.0
2000-02-17 12:00:00,Buster's Pack,Braxton Creek,42,33.8981,-84.3935,286.572449,87.82,0.0
2000-02-27 12:00:00,Girl Scout Troop 2216,Caney Creek,49,34.0838,-84.1994,323.508484,84.29,0.0
2000-06-30 12:00:00,Girl Scout Troop 2216,Caney Creek,49,34.0838,-84.1994,323.508484,75.21,0.0
2000-07-17 12:00:00,Girl Scout Troop 2216,Caney Creek,49,34.0838,-84.1994,323.508484,63.39,0.0
2000-09-24 12:00:00,Girl Scout Troop 2216,Caney Creek,49,34.0838,-84.1994,323.508484,70.72,0.0
2000-08-27 12:00:00,Girl Scout Troop 2216,Caney Creek,49,34.0838,-84.1994,323.508484,69.63,0.0
2000-03-25 12:00:00,Girl Scout Troop 2216,Caney Creek,49,34.0838,-84.1994,323.508484,83.43,0.0
2000-04-16 12:00:00,Girl Scout Troop 2216,Caney Creek,49,34.0838,-84.1994,323.508484,75.93,0.0
2000-01-15 12:00:00,Girl Scout Troop 2216,Caney Creek,49,34.0838,-84.1994,323.508484,80.47,0.0
2000-04-10 12:00:00,Claxton Poultry Co.,Canoochee River,45,32.1841,-81.8889,27.661636,59.35,0.181
2000-04-10 12:00:00,Claxton Poultry Co.,Canoochee River,46,32.1828,-81.8875,27.37039,58.95,0.568
2000-04-10 12:00:00,Claxton Poultry Co.,Canoochee River,47,32.179,-81.8783,33.382378,61.16,0.218
2000-03-27 12:00:00,Claxton Poultry Co.,Canoochee River,45,32.1841,-81.8889,27.661636,35.94,0.1
